"File","Line","Hardcoded Text","Type","Priority","Recommended Key","Action"
"DiscountCalculator.tsx","189","Vyberte typ výpočtu","Placeholder","CRITICAL","discount_type_placeholder","Wrap in t()"
"DiscountCalculator.tsx","192","Mám procento slevy","SelectItem","CRITICAL","discount_type_percentage","Wrap in t()"
"DiscountCalculator.tsx","193","Mám částku slevy","SelectItem","CRITICAL","discount_type_amount","Wrap in t()"
"DiscountCalculator.tsx","194","Mám konečnou cenu","SelectItem","CRITICAL","discount_type_final_price","Wrap in t()"
"DiscountCalculator.tsx","185","Typ výpočtu","Label","CRITICAL","discount_label_type","Wrap in t()"
"DiscountCalculator.tsx","205","Původní cena","Label","CRITICAL","discount_label_original_price","Wrap in t()"
"DiscountCalculator.tsx","238","Procento slevy","Label","CRITICAL","discount_label_percentage","Wrap in t()"
"DiscountCalculator.tsx","272","Částka slevy","Label","CRITICAL","discount_label_amount","Wrap in t()"
"DiscountCalculator.tsx","306","Konečná cena","Label","CRITICAL","discount_label_final_price","Wrap in t()"
"TipCalculator.tsx","204","Vyberte kvalitu obsluhy","Placeholder","CRITICAL","tip_quality_placeholder","Wrap in t()"
"TipCalculator.tsx","207","Špatná (5%)","SelectItem","CRITICAL","tip_quality_poor","Wrap in t()"
"TipCalculator.tsx","208","Průměrná (10%)","SelectItem","CRITICAL","tip_quality_average","Wrap in t()"
"TipCalculator.tsx","209","Dobrá (15%)","SelectItem","CRITICAL","tip_quality_good","Wrap in t()"
"TipCalculator.tsx","210","Výborná (20%)","SelectItem","CRITICAL","tip_quality_excellent","Wrap in t()"
"TipCalculator.tsx","211","Vlastní procento","SelectItem","CRITICAL","tip_quality_custom","Wrap in t()"
"TipCalculator.tsx","200","Kvalita obsluhy","Label","CRITICAL","tip_label_quality","Wrap in t()"
"TipCalculator.tsx","223","Vlastní procento spropitného","Label","HIGH","tip_label_custom_percentage","Wrap in t()"
"CaloriesCalculator.tsx","266","Vyberte pohlaví","Placeholder","CRITICAL","calories_gender_placeholder","Wrap in t()"
"CaloriesCalculator.tsx","269","Muž","SelectItem","CRITICAL","calories_gender_male","Wrap in t()"
"CaloriesCalculator.tsx","270","Žena","SelectItem","CRITICAL","calories_gender_female","Wrap in t()"
"CaloriesCalculator.tsx","285","Vyberte úroveň aktivity","Placeholder","CRITICAL","calories_activity_placeholder","Wrap in t()"
"CaloriesCalculator.tsx","288","Sedavý životní styl","SelectItem","CRITICAL","calories_activity_sedentary","Wrap in t()"
"CaloriesCalculator.tsx","289","Lehká aktivita","SelectItem","CRITICAL","calories_activity_light","Wrap in t()"
"CaloriesCalculator.tsx","290","Střední aktivita","SelectItem","CRITICAL","calories_activity_moderate","Wrap in t()"
"CaloriesCalculator.tsx","291","Vysoká aktivita","SelectItem","CRITICAL","calories_activity_active","Wrap in t()"
"CaloriesCalculator.tsx","292","Extrémní aktivita","SelectItem","CRITICAL","calories_activity_extreme","Wrap in t()"
"CaloriesCalculator.tsx","262","Pohlaví","Label","CRITICAL","calories_label_gender","Wrap in t()"
"CaloriesCalculator.tsx","281","Úroveň aktivity","Label","CRITICAL","calories_label_activity","Wrap in t()"
"CurrencyCalculator.tsx","183","Vyberte měnu","Placeholder","HIGH","currency_from_placeholder","Wrap in t()"
"CurrencyCalculator.tsx","217","Vyberte měnu","Placeholder","HIGH","currency_to_placeholder","Wrap in t()"
"LoanCalculator.tsx","238","Roky","SelectItem","HIGH","loan_period_years","Wrap in t()"
"LoanCalculator.tsx","239","Měsíce","SelectItem","HIGH","loan_period_months","Wrap in t()"
"LoanCalculator.tsx","151","Výše půjčky (Kč)","Label","CRITICAL","loan_label_amount","Wrap in t()"
"LoanCalculator.tsx","176","Rychlé částky","Label","CRITICAL","loan_label_quick_amounts","Wrap in t()"
"LoanCalculator.tsx","193","Úroková sazba (% p.a.)","Label","CRITICAL","loan_label_interest_rate","Wrap in t()"
